AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00454169         562R   385R   407R   284R   223R   178R    83R    99R   153S   370R   627R   543R
USC00454338         193R   134S   165R   139S   125S    91S    37S    36S    49S   111R   202R   221R
USC00454446         678Q   319Q   262Q   151Q   120Q   110Q    54Q    57Q    88Q   321Q   635Q   572Q
USC00454486         785S   520C   575S   485S   402S   317S   146S   160S   253S   514S   892S   674S
USC00454572         450R   263R   209R   111R   107R   107R    39S    46S    65S   207S   450R   449R
USC00454679         117S    82C   103S    83S    82S    60S    34S    31S    41S    81S   137S   126R
USC00454748        1179S   840S   864S   626S   381S   294S   144S   166S   258S   720S  1226S  1167S
USC00454764        1171S   790S   745R   571S   483S   386S   162S   152S   356C   789R  1339S  1047R
USC00454769         662S   490S   468S   379C   318S   226S    83S   115C   205S   401S   771C   680S
USC00455086        1361R   940R   930R   636R   407R   267R   133R   162R   291R   843R  1437R  1298R
USC00455110         760S   543S   593S   503S   391S   278S   108S   127S   213S   490C   887S   747S
USC00455133         368S   235S   169S   103S   106S   103S    79S    58S    66S   182S   390S   382S
USC00455224         595S   415S   451S   352S   286S   236C   103S    95S   163S   383S   702S   568S
USC00455231         108S    78S    78S    61S    77S    59S    18S    23R    36R    62R   110R   110R
USC00455305         983S   745C   728C   569S   410S   302S   103C   130S   273S   574S  1099C   990S
USC00455326         151R   125R   117R    73S   128S   100R    55S    36S    53S    89R   194R   198R
USC00455387         206R   171R   222R   174S   195S   128C    47S    55C    71C   148S   240R   211R
USC00455525         624S   412S   481C   377S   339S   255S   133S   131S   260S   478S   745S   642S
USC00455659         736Q   514Q   550Q   244Q   165Q   127Q    45Q    65Q   111Q   391Q   778Q   863Q
USC00455678         413R   253R   300R   236R   268R   211R   116R   139R   172R   341R   525R   346R
USC00455688          91S    60S    65S    70S    78S    73S    25S    25S    40S    65S    98S   113S
USC00455704         716R   502R   581S   504S   480S   392S   194S   174S   282S   502R   870S   581R
USC00455774        1752C  1249C  1236C   845C   494S   376S   163C   198C   356C  1006C  1791C  1735S
USC00455840        1177S   701S   689S   477C   345S   272S   170S   177C   318S   832S  1404S  1095S
USC00455844         291R   214R   236R   216R   227S   214S   118S    94S   118S   212R   352R   395R
USC00455946         206S   144S   161S   167S   215S   239S   140S   101S   118S   129S   212S   243S
USC00456011         766R   627R   588R   415R   267R   212R    74R    78R   191R   460R   947R   882R
USC00456039         137S   101C   107S    79C    96S    69S    45C    31C    42S    74S   149C   166S
USC00456096         392S   241S   233S   189S   180C   129S    80C   106C   133C   297S   482S   354S
USC00456215          95R    84R    79R    66R    69R    49R    38R    17R    39R    60R   103R   126R
USC00456262         896S   605S   543S   367S   288S   209S    91S    87S   206C   502C   995C   811S
USC00456295        1103S   774S   908C   737S   639S   534S   255C   256C   395S   729C  1258S   985S
USC00456534         492S   308S   213S   132S   122S    96C    52C    50C    72C   223C   491S   488S
USC00456610         204R   166R   173S   171R   168R   111R    62R    62S    79R   122R   208R   201R
USC00456624         400S   233S   216S   134S   113R    85R    55R    69R    93R   266S   451S   414S
USC00456678         225S   148S   167S   146S   168S   128S    75S    65R   102R   161S   273R   246R
USC00456747         102R    67S    63S    53S    45S    45S    22S    15S    27S    52R   110S   141S
USC00456768         113R    83R    78R    70R    70S    73S    20S    27S    47S    75S   102R   136R
USC00456789         257S   185R   204S   175C   181S   131S    65S    66C    77C   158S   286S   250R
USC00456803         597R   390R   420R   315R   219R   172R    69R    92R   131R   377R   673R   587R
USC00456880         100R    65S    64S    53S    72S    48S    23S    21S    37S    53C   113S   137R
USC00456896        1142R   786R   710R   502R   341R   249S   104S   107S   273S   663S  1292R  1229R
USC00456898        1824R  1269R  1256R   830R   589R   411R   195R   197S   471S  1043R  2028R  1717R
USC00456909         805R   608R   532R   411R   331R   296R   121R   121R   259R   542R  1029R   655R
USC00456914        1272S   922C   941C   639S   402C   281C   123S   139C   277C   766S  1366C  1215C
USC00456974         149S   116S   126S   123S   196C   196C   130C    81C    83S    99S   183S   212R
USC00457015         101S    77S    69S    60S    65S    50S    25S    16S    31S    54S   102S   112S
USC00457059         147S   109S   125S    93S   113S    80S    49C    38C    47C    92S   171S   174S
USC00457180         206R   148R   159S   137C   172S   123S    66C    51S    75S   128S   246R   223R
USC00457185         928S   591S   517S   309S   210S   169S   123C   125C   210C   610C  1122S   847C
USC00457267         199S   152R   172S   149S   153S   121S    62S    46C    72C   133C   239S   232R
USC00457342         297Q   289Q   209Q   111Q   127Q    90Q    24Q    31Q    64Q   139Q   334Q   381Q
USC00457507         585S   362S   438S   379S   315S   277S   153S   169S   262S   477S   734S   498S
USC00457522          95R    69R    80R    68R    85R    76R    24R    27R    42R    64R   109R   124R
USC00457544         204C   120S   129C   108S   125C    97C    54C    59S    80C   145C   266S   215S
USC00457584        1084R   732R   700R   517R   274R   187R    79R   105R   215R   573R  1112R  1010R
USC00457696        1158S   905S   863S   695C   541S   433S   125C   151S   341C   707S  1306S  1179R
USC00457727          92R    63S    71S    57S    51S    59R    27S    18S    32S    60S   108R   118R
USC00457773         885S   542S   626C   481C   401S   294S   137S   129S   285S   569S  1012S   845S
USC00457941         187R   146R   171R   123R   176R   135R    57R    47R    63R   129R   221R   253R
USC00458034         836R   544S   603S   529S   506R   385S   169S   178S   335S   621R  1023S   765R
USC00458059         659S   383S   286S   159S   113S    87S    61S    62S    95S   334S   692S   681S
USC00458207          90R    63R    60S    59S    61R    54S    14C    24S    44S    63S    91R   127R
USC00458278         593S   386S   406S   300S   211S   157S    68S    82S   129S   370S   668S   552S
USC00458508        1290S   813S  1013R   862S   717S   593S   289R   268S   539S   964S  1475S  1120R
USC00458715        1470C   925S   934C   673S   511C   366C   228C   211S   420S  1011S  1689S  1355C
USC00458773         592R   435S   421C   320C   271S   191S    69S    74S   161S   338S   651S   640R
USC00458959         103R    70S    61S    55S    75S    67S    27S    27S    36S    57S   111S   142R
USC00459012         148R    94R    81R    63S   106S   103R    51S    37S    41S    67S   152R   197R
USC00459021         813S   541C   543S   358S   234S   182S    79S   103S   161S   466S   881S   817S
USC00459074         133S   100S    61S    53S    69R    66S    34S    19S    30C    52S   138S   153R
USC00459079         153R   111R    70R    64R    55R    63R    29R    23R    34R    57R   139R   158R
USC00459200         146R   137S   156S   143C   148C   111C    38S    42C    64C   115C   173R   179R
USC00459238         141R   100R   112S    99R   128R    92R    80S    32R    48S    87R   169R   177R
USC00459376         195S   133S   103C    76C   112S   118S    75S    54S    42S   108S   209S   250S
USC00459455         111Q    73Q    69Q    57Q    69Q    75Q    20Q    25Q    47Q    55Q   113Q   153Q
USC00460094         337S   304S   371C   374S   435S   445C   509S   353C   325S   288S   366S   342C
USC00460102         282C   272C   341C   311C   421S   343C   438C   299C   318C   253C   279S   318C
USC00460202         318Q   297Q   409Q   432Q   510Q   430Q   617Q   413Q   337Q   292Q   350Q   328Q
USC00460355         290R   256R   324R   324R   388R   308R   476R   320R   301R   238R   295R   283R
USC00460509         333R   308R   395R   356R   479R   353R   435R   366R   343R   286R   357R   361R
USC00460527         373S   361R   437S   418R   546S   463S   563S   406R   382S   311S   370R   390S
USC00460580         281R   245R   328S   342S   457S   357S   523S   342S   294S   242S   288S   300R
USC00460633         343R   346R   421R   410R   536R   501S   531R   376S   387S   314R   367R   389S
USC00460925         339Q   300Q   361Q   375Q   441Q   370Q   448Q   346Q   304Q   254Q   292Q   325Q
USC00460939         289S   265S   337C   340C   416S   339C   442C   332S   292C   260C   261C   290C
USC00461075         324C   341C   385C   340C   471C   408C   476C   387C   328C   321C   359C   371C
USC00461215         348S   311S   414S   381S   485S   361S   447S   387S   341S   307S   355S   374S
USC00461220         327R   330R   426R   356R   515S   495R   514R   429S   356S   329S   370S   379R
USC00461282         336S   319S   385S   368S   487S   477S   531S   418S   330C   314C   369S   351S
USC00461324         280R   241R   325R   325S   391R   407S   407R   309S   353S   302R   314R   285R
USC00461330         358R   321R   431R   344R   480R   377R   486R   361R   338R   336R   369R   334R
USC00461363         431R   373R   475R   452R   586R   501R   566R   501R   380R   358R   378R   394R
USC00461393         401R   366R   450R   433R   609R   476R   547R   389R   376R   322R   424R   385R
USC00461397         503Q   427Q   469Q   463Q   543Q   504Q   629Q   436Q   376Q   334Q   429Q   464Q
USC00461579         310R   324R   415R   393R   520R   375R   577R   353R   333R   290R   351R   381R
USC00461677         334C   322C   414S   356C   480C   438C   475S   376S   321S   307C   390C   347S
USC00461696         310R   338R   413R   355R   513R   462R   448R   424R   376R   287R   390R   351R
USC00461723         333R   318R   400R   381R   489R   451R   539R   433R   351R   287R   397R   344R
USC00461900         435Q   376Q   395Q   420Q   509Q   487Q   514Q   415Q   382Q   348Q   423Q   370Q
USC00462054         323R   334R   406R   339R   481R   442R   449R   389R   327R   319R   364R   347R
USC00462151         331S   294S   418S   419S   541S   469S   582S   430R   395S   319S   354S   355R
USC00462211         613Q   497Q   523Q   491Q   526Q   524Q   556Q   426Q   385Q   374Q   431Q   489Q
USC00462462         357S   335R   399S   435S   542R   432R   516S   393S   345S   296S   340S   376S
USC00462522         341R   345R   388R   394S   489S   469R   458R   368S   339S   312S   371S   380R
USC00462697         294Q   296Q   365Q   335Q   429Q   379Q   456Q   367Q   307Q   290Q   321Q   282Q
USC00462920         347S   299S   401S   361S   509S   441S   488S   370S   354C   311S   372S   346S
USC00463072         335R   325R   388R   410R   503R   406R   472R   393R   305R   313R   320R   373R
USC00463215         216R   198S   310S   296S   408S   313S   423S   341S   341S   230S   287S   240S
USC00463251         343Q   304Q   410Q   358Q   491Q   427Q   463Q   357Q   367Q   303Q   371Q   347Q
USC00463361         325S   322S   417S   390S   504S   473S   567S   425S   339S   321S   395S   371S
USC00463464         420C   376S   479C   466S   604S   502S   588S   451S   409S   352S   390S   414S
USC00463544         326S   319S   418S   366S   478S   441S   512S   383S   328S   306C   391S   335S
USC00463648         341Q   331Q   407Q   358Q   544Q   435Q   443Q   377Q   328Q   319Q   375Q   351Q
USC00463798         437S   405S   506S   527C   608C   578C   631C   499C   432S   397S   456S   466S
USC00463846         299C   324S   393C   354C   488C   400S   527S   382S   326S   312S   355C   354S
USC00463940         320Q   323Q   385Q   331Q   469Q   419Q   507Q   379Q   328Q   309Q   355Q   351Q
USC00464200         320R   289R   385S   332S   428S   357S   392C   339S   325S   273C   317S   330S
USC00464397         349R   297R   391R   356R   466R   388R   453R   377R   298R   290R   312R   336R
USC00464408         332R   296R   371R   388R   491R   425R   461R   369R   328S   295R   350R   386R
USC00464763         250R   261R   339R   347R   429R   384R   403R   319R   332R   298R   327R   305R
USC00464840         292R   265R   363R   365R   410R   336R   399R   336R   352R   271R   311R   287R
USC00464971         490Q   534Q   600Q   524Q   669Q   543Q   553Q   489Q   406Q   387Q   429Q   549Q
USC00465002         292S   266C   353S   371S   476S   440C   455S   366S   343S   297C   358S   299S
USC00465224         315S   288S   345S   339S   431S   373S   402S   317S   328S   257S   287S   323S
